2024-03-11 10:54:41,784 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Configure stats pid to 12704
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yyyfa\.config\wandb\settings
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yyyfa\ConstrainedDGM\wandb\settings
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_tableGAN.py', 'program_abspath': 'C:\\Users\\yyyfa\\ConstrainedDGM\\main_tableGAN.py', 'program': 'C:\\Users\\yyyfa\\ConstrainedDGM\\main_tableGAN.py'}
2024-03-11 10:54:41,785 INFO    MainThread:12704 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\yyyfa\ConstrainedDGM\wandb\run-20240311_105441-unconstrained_random_0_adam_300_128_100_64_11-03-24--10-54-39\logs\debug.log
2024-03-11 10:54:41,786 INFO    MainThread:12704 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\yyyfa\ConstrainedDGM\wandb\run-20240311_105441-unconstrained_random_0_adam_300_128_100_64_11-03-24--10-54-39\logs\debug-internal.log
2024-03-11 10:54:41,786 INFO    MainThread:12704 [wandb_init.py:init():566] calling init triggers
2024-03-11 10:54:41,786 INFO    MainThread:12704 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-11 10:54:41,786 INFO    MainThread:12704 [wandb_init.py:init():616] starting backend
2024-03-11 10:54:41,786 INFO    MainThread:12704 [wandb_init.py:init():620] setting up manager
2024-03-11 10:54:41,789 INFO    MainThread:12704 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-11 10:54:41,793 INFO    MainThread:12704 [wandb_init.py:init():628] backend started and connected
2024-03-11 10:54:41,799 INFO    MainThread:12704 [wandb_init.py:init():720] updated telemetry
2024-03-11 10:54:41,853 INFO    MainThread:12704 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-11 10:54:42,540 INFO    MainThread:12704 [wandb_run.py:_on_init():2262] communicating current version
2024-03-11 10:54:42,922 INFO    MainThread:12704 [wandb_run.py:_on_init():2271] got version response 
2024-03-11 10:54:42,922 INFO    MainThread:12704 [wandb_init.py:init():804] starting run threads in backend
2024-03-11 10:54:43,395 INFO    MainThread:12704 [wandb_run.py:_console_start():2241] atexit reg
2024-03-11 10:54:43,395 INFO    MainThread:12704 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-11 10:54:43,395 INFO    MainThread:12704 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-11 10:54:43,396 INFO    MainThread:12704 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-11 10:54:43,397 INFO    MainThread:12704 [wandb_init.py:init():847] run started, returning control to user process
2024-03-11 10:54:43,397 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set seed = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,398 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb seed 0 None
2024-03-11 10:54:43,398 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set use_only_target_original_dtype = False - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,398 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb use_only_target_original_dtype False None
2024-03-11 10:54:43,399 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set label_ordering = random - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,399 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb label_ordering random None
2024-03-11 10:54:43,399 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set wandb_project = c-dgm_test - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,399 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb wandb_project c-dgm_test None
2024-03-11 10:54:43,399 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set wandb_mode = online - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,399 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb wandb_mode online None
2024-03-11 10:54:43,400 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set epochs = 300 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,400 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb epochs 300 None
2024-03-11 10:54:43,400 INFO    MainThread:12704 [wandb_config.py:__setitem__():151] config set num_samples = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002C84C3066E0>>
2024-03-11 10:54:43,400 INFO    MainThread:12704 [wandb_run.py:_config_callback():1343] config_cb num_samples None None
