2024-03-11 10:32:39,593 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-11 10:32:39,594 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Configure stats pid to 14260
2024-03-11 10:32:39,594 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yyyfa\.config\wandb\settings
2024-03-11 10:32:39,594 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yyyfa\ConstrainedDGM\wandb\settings
2024-03-11 10:32:39,594 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-11 10:32:39,594 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-11 10:32:39,595 INFO    MainThread:14260 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_tableGAN.py', 'program_abspath': 'C:\\Users\\yyyfa\\ConstrainedDGM\\main_tableGAN.py', 'program': 'C:\\Users\\yyyfa\\ConstrainedDGM\\main_tableGAN.py'}
2024-03-11 10:32:39,596 INFO    MainThread:14260 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\yyyfa\ConstrainedDGM\wandb\run-20240311_103239-unconstrained_random_0_adam_300_128_100_64_11-03-24--10-32-37\logs\debug.log
2024-03-11 10:32:39,596 INFO    MainThread:14260 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\yyyfa\ConstrainedDGM\wandb\run-20240311_103239-unconstrained_random_0_adam_300_128_100_64_11-03-24--10-32-37\logs\debug-internal.log
2024-03-11 10:32:39,596 INFO    MainThread:14260 [wandb_init.py:init():566] calling init triggers
2024-03-11 10:32:39,596 INFO    MainThread:14260 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-11 10:32:39,596 INFO    MainThread:14260 [wandb_init.py:init():616] starting backend
2024-03-11 10:32:39,596 INFO    MainThread:14260 [wandb_init.py:init():620] setting up manager
2024-03-11 10:32:39,602 INFO    MainThread:14260 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-11 10:32:39,607 INFO    MainThread:14260 [wandb_init.py:init():628] backend started and connected
2024-03-11 10:32:39,613 INFO    MainThread:14260 [wandb_init.py:init():720] updated telemetry
2024-03-11 10:32:39,669 INFO    MainThread:14260 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-11 10:32:40,290 INFO    MainThread:14260 [wandb_run.py:_on_init():2262] communicating current version
2024-03-11 10:32:40,654 INFO    MainThread:14260 [wandb_run.py:_on_init():2271] got version response 
2024-03-11 10:32:40,654 INFO    MainThread:14260 [wandb_init.py:init():804] starting run threads in backend
2024-03-11 10:32:41,165 INFO    MainThread:14260 [wandb_run.py:_console_start():2241] atexit reg
2024-03-11 10:32:41,166 INFO    MainThread:14260 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-11 10:32:41,166 INFO    MainThread:14260 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-11 10:32:41,167 INFO    MainThread:14260 [wandb_run.py:_redirect():2186] Redirects installed.
